date,Close,LA,Close_ADR,LA_ADR,Volume_ADR,SMA10,DIF12-26,MACD9,OSC,BIAS5,BIAS10,BIAS20,AR10,Oscillators,5-10MA-Osc,CCI14,CCI28,CCI42,PYS12,PYS24,BR10,MTM10,MA10,ACC10,ATR14,RSI 6,RSI 12,BBand width,RC12,"ERC(12, 12)",9-25MI,HL-Osc,TRIX9,TRIX15,0,ADX10,ADX10,"K(9,3)",J,WA/D,VHF10,Volume,MA5,MA10,MA20,MA60,PVC10,VRC12,OBV,EMV,EMVA10,MFI6,VR10,VA-Osc,FinMaintanR,TAIEXClose,LegalPerson5,LegalPerson10,2303Close,SecurityAssetRate,SecurityBalance,BalanceFinance,BuyAndSellSuper,SecurityTrader5,SecurityTrader10,MainForce5,MainForces10,Volatility
2018/8/21,241,1,37.2756,1,4156825,242.4,2.38,3.75,-1.38,0,-0.01,-0.01,0.81,49.15,-2.3,-52.19,4.82,49.37,0.33,0.54,0.93,-0.5,-2,-1,3.75,0.48,0.53,0.05,-0.02,0,25.08,60,0.07,0.26,20.73,30.3,25.1,0.24,0.15,10,0.38,13871,17782,17992,21744,31980,-0.23,-0.45,-508956,1.35,-1.25,48.03,0.87,13871,1.72,10792.2,-1805,20468097,18,0.22,2222,9945,684,-947,1613177,5609,6556,0.18
2018/8/22,242,1,38.0099,1,6075469,241.85,2.23,3.45,-1.22,0.01,0,-0.01,0.7,50.87,-1.65,-24.69,10.08,54.91,0.42,0.54,0.51,-5.5,-3.25,-12.5,3.46,0.53,0.55,0.04,-0.01,0,25.11,75,0.04,0.24,23.94,28.51,23.46,0.31,0.34,11.5,0.46,12679,16471,16821,21301,31761,-0.25,-0.43,-496277,2.76,-1.28,45.48,0.75,6339.5,1.73,10804.2,-1596,20467303,17.5,0.22,2228,10044,-425,86,1613263,5589,5503,0.18
2018/8/23,244.5,0,38.0192,0,5512712,241.6,2.28,3.21,-0.94,0.01,0.01,0,0.77,52.78,-0.3,29.88,19.87,64.75,0.5,0.54,0.72,-2.5,-4.1,-8.5,3.39,0.63,0.59,0.03,0.01,0,25.07,100,0.04,0.22,28.19,26.35,21.45,0.52,0.81,14,0.31,17216,16083,17030,20619,31220,0.01,-0.29,-479061,1.96,-1.21,63.87,1.11,17216,1.74,10863.13,3773,20479698,17.65,0.24,2341,9659,-54,2633,1615896,6506,3873,0.18
2018/8/24,243.5,1,37.8147,1,4126100,241.45,2.28,3.03,-0.75,0.01,0.01,0,0.75,53.65,0.65,39.43,15.96,61.74,0.42,0.5,0.87,-1.5,-4.3,-2,3.39,0.57,0.57,0.03,-0.02,0,24.96,50,0.03,0.21,30.19,23.93,20.47,0.57,0.85,11.5,0.3,15447,15245,16962,20035,29868,-0.09,-0.37,-494508,1.46,-0.87,82.42,1.11,-10298,1.73,10809.35,-1287,20480065,17.3,0.24,2382,9926,1702,567,1616463,5957,5390,0.17
2018/8/27,245,1,38.3353,1,4231971,241.9,2.36,2.89,-0.54,0.01,0.01,0.01,0.73,55.38,1.3,62.01,18.1,64.44,0.5,0.54,2.25,4.5,-3.35,9.5,3.32,0.64,0.59,0.03,-0.01,0,24.64,100,0.04,0.19,28.94,21.71,19.85,0.66,0.95,13,0.39,15579,14958,16732,19674,29517,-0.07,0.03,-478929,1.28,0.32,81.72,1.68,-7789.5,1.74,10902.21,7178,20487243,17.4,0.25,2432,9550,354,2974,1619437,9927,6953,0.18
2018/8/28,249.5,1,38.6049,1,5733031,242.5,2.71,2.86,-0.15,0.02,0.03,0.02,0.96,58.28,2.4,140,35.75,82.1,0.58,0.58,2.64,6,-2.5,8.5,3.25,0.76,0.66,0.05,0.02,0,24.39,100,0.07,0.19,34.95,18.53,20.93,0.76,1.09,17.5,0.62,40411,20266,19024,20284,29669,1.12,1.51,-438518,1.73,0.1,100,2.05,20205.5,1.76,10989.55,17852,20505276,17.5,0.26,2700,10193,-4814,7170,1626607,23520,16350,0.19
2018/8/29,259,1,39.3671,1,10683520,244.25,3.62,3.01,0.61,0.04,0.06,0.06,2.25,62.52,4.05,242.51,79.17,121.22,0.67,0.58,-27,17.5,-0.1,24,3.79,0.87,0.76,0.09,0.08,0.01,24.46,100,0.13,0.19,49.06,14.16,24.36,0.84,1.17,27,0.82,57633,29257,22864,21677,30168,1.52,2.22,-380885,6.92,1.24,100,4.3,57633,1.81,11099.57,27447,20532648,17.55,0.31,3222,10324,-6858,15255,1641862,33006,17751,0.23
2018/8/30,263.5,0,41.0217,0,12278199,246.7,4.83,3.37,1.46,0.05,0.07,0.07,1.8,63.97,5.4,260.09,118.82,152.8,0.67,0.58,-4.5,24.5,2.9,30,4.25,0.9,0.79,0.13,0.08,0.02,24.66,100,0.22,0.21,59.2,11.34,28.71,0.84,1.07,31.5,0.91,52623,36339,26211,23169,30539,1.01,2.01,-328262,9.41,2.6,100,9.94,-33487.36,1.81,11093.75,16816,20548140,17.35,0.35,3424,9817,-5558,6383,1648245,20699,14316,0.23
2018/8/31,256,1,40.3989,1,7826396,248.35,5.08,3.71,1.36,0.01,0.03,0.04,1.38,62.69,6.25,123.27,67.15,98.66,0.67,0.54,19.67,16.5,5.3,24,4.5,0.63,0.64,0.13,0.06,0.03,24.87,-47.37,0.28,0.22,47.99,26.13,28.79,0.76,0.8,24,0.72,70001,47249,31247,25411,31284,1.24,2.64,-398263,-6.25,1.94,72.12,2.33,-14000.2,1.75,11063.94,-1065,20546308,17.35,0.27,3028,11139,-4556,-8390,1639855,29670,38060,0.25
2018/9/3,257,1,40.5291,0,8782907,250.1,5.32,4.04,1.29,0,0.03,0.04,1.32,60.58,6.9,114.85,73.72,99.79,0.75,0.54,-66,17.5,7.65,23.5,4.46,0.65,0.65,0.12,0.08,0.04,25.1,100,0.33,0.24,46.12,24,29.06,0.71,0.66,25,0.65,34511,51036,32997,26018,31456,0.05,0.8,-363752,1.77,2.24,74.18,2.86,-24650.71,1.75,10964.22,7010,20553378,17.1,0.3,3187,10804,2467,2392,1642247,14390,11998,0.25
2018/9/4,257.5,1,40.5291,1,8782907,251.75,5.45,4.32,1.13,0,0.02,0.04,1.06,59.5,6.85,92.47,69.52,91.12,0.75,0.54,10,16.5,9.35,17,4.39,0.66,0.66,0.12,0.08,0.04,25.24,62.5,0.36,0.25,42.3,24.08,28.9,0.66,0.58,27,0.64,41456,51245,35756,26874,31780,0.16,1.11,-322296,-0.72,2.03,62.51,3.18,0,1.75,11021.38,1498,20554948,17.2,0.29,3157,10969,-3559,-1664,1640583,21109,22773,0.24
2018/9/5,264,0,41.0031,1,8174946,253.95,5.91,4.64,1.27,0.02,0.04,0.06,1.27,60.13,5.65,116.78,98.21,109.09,0.83,0.58,-19.75,22,12.1,27.5,4.64,0.76,0.71,0.12,0.1,0.05,25.51,100,0.4,0.27,46.34,20.74,29.83,0.72,0.74,33.5,0.53,52706,50259,39758,28290,32155,0.33,2.1,-269590,4.44,2.2,64.27,3.65,43123.09,1.78,10995.13,8203,20563280,17,0.31,3532,11252,-6887,8251,1648834,19926,11675,0.24
2018/9/6,261,1,41.1054,0,7262563,255.6,6.19,4.95,1.24,0.01,0.02,0.05,0.83,58.13,3.5,101.41,101.02,104.7,0.75,0.54,20.5,16.5,14,19,5,0.65,0.66,0.11,0.08,0.06,25.67,57.14,0.43,0.29,46.83,17.97,31.3,0.72,0.72,26.5,0.52,39779,47691,42015,29522,32217,-0.05,1.87,-309369,4.84,2.49,62.22,2.36,-39779,1.75,10924.3,1921,20564988,16.9,0.32,3573,11125,-3886,-312,1648522,17713,18025,0.25
2018/9/7,264,1,40.9474,1,10424877,257.65,6.37,5.23,1.14,0.01,0.02,0.06,0.85,55.74,3.05,78.79,95.15,94.53,0.75,0.58,42.5,20.5,16.2,22,5.11,0.7,0.68,0.09,0.09,0.06,25.77,85.71,0.45,0.3,43.6,17.72,32.39,0.74,0.78,30,0.46,44747,42640,44945,30953,32347,0,2.53,-264622,-1.76,2.17,45.13,3.09,44747,1.77,10846.99,10546,20582559,16.3,0.37,3794,10183,1368,6913,1655435,21655,14742,0.24
